StoreNumber,BatchNumber,SKU,ONHAND,ScannedCnt,Diff,BatchPass,BatchPassDecr,DateCreated
111,1,9557004,1,1,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9557775,2,2,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9609422,3,3,0,1,Batch Pass 1,2022-08-08 16:11:16.920
111,1,9816385,2,2,0,1,Batch Pass 1,2022-08-08 16:11:16.920
134,5,2086264,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,2154534,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,2519008,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,5826277,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,5838998,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,6715425,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,67988181,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,7744053,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8027073,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8206993,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8268825,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8273001,2,1,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8597297,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8868245,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8903514,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8935996,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9079771,3,2,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9111816,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9142327,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9174771,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9189749,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9190448,4,3,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9205139,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9233198,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9237458,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9284098,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9295049,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9299276,5,5,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9332223,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9372522,1,2,-1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9388564,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9466148,2,1,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9466668,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9599519,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9605692,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9635932,5,5,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9638680,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9654457,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9654469,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9741241,2,1,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9786232,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,1925955,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,2263811,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,2528893,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,67973542,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,7518032,4,4,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,7541516,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8369486,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8556782,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8654069,4,4,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8772035,3,2,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8918125,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8979466,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9069686,5,4,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9219148,4,5,-1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9232924,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9237416,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9251497,8,7,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9251507,4,4,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9281197,5,5,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9371545,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9371936,5,5,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9374853,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9415092,5,5,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9415994,6,6,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9466220,4,3,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9476192,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9479991,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9555719,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9557452,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9607116,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9608430,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9609419,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9656502,5,5,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9722926,4,4,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,1275316,3,2,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,1390651,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,2860483,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,3205768,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,3432519,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,3481687,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,7620271,3,2,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,7657344,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8315391,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,8799342,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9032953,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9034118,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9081509,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9096496,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9151552,0,1,-1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9218033,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9231552,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9233070,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9233071,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9236036,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9255403,5,4,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9337340,2,1,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9373123,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9455814,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9481578,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9529661,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9558728,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9568887,6,5,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9591200,4,4,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9591239,3,3,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9591426,4,4,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9606543,1,1,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9612909,9,8,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9712739,2,2,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9752309,5,5,0,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9752336,5,4,1,1,Batch Pass 1,2022-08-12 10:49:56.250
134,5,9768833,5,5,0,1,Batch Pass 1,2022-08-12 10:49:56.250
